domain,stimulus,code,ASL_01,ASL_02,ASL_03,ASL_04,ASL_05,ASL_06,ASL_07,ASL_08,ASL_09,ASL_10,ASL_11,ASL_12,ASL_13,BSL_01,BSL_02,BSL_03,BSL_04,BSL_05,BSL_06,BSL_07,BSL_08,BSL_09,BSL_10,BSL_11,BSL_12,BSL_13,BSL_14,BSL_15,CAN_01,CAN_02,CAN_03,CAN_04,CAN_05,CAN_06,CAN_07,CAN_08,CAN_09,CAN_10,CAN_11,CAN_12,DOG_01,DOG_02,DOG_03,DOG_04,DOG_05,DOG_06,DOG_07,DOG_08,DOG_09,DOG_10,DOG_11,DOG_12,DOG_13,ENG_01,ENG_02,ENG_03,ENG_04,ENG_05,ENG_06,ENG_07,ENG_08,ENG_09,ENG_10,ENG_11,ENG_12,ENG_13,ENG_14,ENG_15,ENG_16,ENG_17,FAR_01,FAR_02,FAR_03,FAR_04,FAR_05,FAR_06,FAR_07,FAR_08,FAR_09,FAR_10,FAR_11,FAR_12,FAR_13,KAT_01,KAT_02,KAT_03,KAT_04,KAT_05,KAT_06,KAT_07,KAT_08,KAT_09,KAT_10,KAT_11,KAT_12,KAT_13,KIL_01,KIL_02,KIL_03,KIL_04,KIL_05,KIL_06,KIL_07,KIL_08,KIL_09,KIL_10,KIL_11,KIL_12,KIL_13,KIL_14,KIL_15,KIL_16,KIL_17,KIL_18,KIL_19,KIL_20,KIL_21,KIL_22,KIL_23,KIL_24,KIL_25,KIL_26,KIL_27,KIL_28,KIL_29,KIL_30,KIL_31,KIL_32,KIL_33,KIL_34,KIL_35,KIL_36,KIL_37,KIL_38,KIL_39,KIL_40,KIL_41,KIL_42,KIL_43,KIL_44,KIL_45,KIL_46,KIL_47,KIL_48,KIL_49,KIL_50,KIL_51,KIL_52,KIL_53,KIL_54,LAO_01,LAO_02,LAO_03,LAO_04,LAO_05,LAO_06,LAO_07,LAO_08,LAO_09,LAO_10,LAO_11,LAO_12,LAO_13,LAO_14,LAO_15,LAO_16,LAO_17,LAO_18,MAL_01,MAL_02,MAL_03,MAL_04,MAL_05,MAL_06,MAL_07,MAL_08,MAL_09,MAL_10,MAL_11,MAL_12,MAL_13,MAL_14,MAL_15,MIA_01,MIA_02,MIA_03,MIA_04,MIA_05,MIA_06,MIA_07,MIA_08,MIA_09,MIA_10,MIA_11,MIA_12,SEM_01,SEM_02,SEM_03,SEM_04,SEM_05,SEM_06,SEM_07,SEM_08,SEM_09,SEM_10,SEM_11,SEM_12,SIW_01,SIW_02,SIW_03,SIW_04,SIW_05,SIW_06,SIW_07,SIW_08,SIW_09,SIW_10,SIW_11,SIW_12,SIW_14,SIW_15,SIW_16,SIW_17,TUR_01,TUR_02,TUR_03,TUR_04,TUR_05,TUR_06,TUR_07,TUR_08,TUR_09,TUR_10,TUR_11,TUR_12,TUR_13,TZE_01,TZE_02,TZE_03,TZE_04,TZE_05,TZE_06,TZE_07,TZE_08,TZE_09,TZE_10,TZE_11,TZE_12,TZE_13,UMP_01,UMP_02,UMP_03,UMP_04,UMP_05,UMP_06,UMP_07,UMP_08,UMP_09,UMP_10,UMP_11,UMP_14,UMP_15,YEL_01,YEL_02,YEL_03,YEL_04,YEL_05,YEL_06,YEL_07,YEL_08,YEL_09,YEL_10,YEL_11,YEL_12,YUC_01,YUC_02,YUC_03,YUC_04,YUC_05,YUC_06,YUC_07,YUC_08,YUC_09,YUC_10,YUC_11,YUC_12,YUC_13,YUR_01,YUR_02,YUR_03,YUR_04,YUR_05,YUR_06,YUR_07,YUR_08,YUR_09,YUR_10,YUR_11,YUR_12,YUR_13,YUR_14,YUR_15,ZAP_01,ZAP_02,ZAP_03,ZAP_04,ZAP_05,ZAP_06,ZAP_07,ZAP_12,ZAP_14,ZAP_15,ZAP_16
colour,28,10PB 4/12,6,6,6,10,6,6,40,8,6,8,9,6,20,6,11,6,6,22,6,18,10,14,11,6,4,10,6,13,3,3,5,8,3,8,8,3,8,3,3,3,6,5,5,5,22,6,6,6,6,5,7,NA,NA,19,24,42,6,6,6,6,6,6,13,6,93,6,6,12,6,31,7,14,11,7,14,7,7,11,14,11,11,7,7,NA,20,11,NA,9,NA,NA,NA,12,11,111,11,64,7,6,7,4,12,12,7,8,12,6,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,11,6,11,11,10,6,12,NA,NA,NA,NA,NA,NA,NA,NA,10,8,4,15,4,4,4,4,8,4,4,9,4,9,8,11,0,5,3,3,3,6,5,5,5,3,5,14,22,NA,10,19,77,20,31,13,60,17,NA,6,0,4,21,0,0,NA,0,39,NA,NA,NA,7,6,NA,NA,10,10,8,3,3,3,7,3,3,4,3,3,3,69,22,12,12,3,13,14,11,25,3,11,14,24,19,14,9,14,15,7,7,6,6,13,7,NA,NA,17,10,0,23,0,0,10,0,10,0,0,0,7,10,7,7,7,7,7,7,12,12,7,16,12,13,NA,9,8,16,13,5,16,5,9,NA,NA,NA,NA,NA,7,13,11,7,12,7,12,7,12,5,12
colour,29,10P 8/6,4,4,11,9,9,4,4,14,16,16,4,9,9,4,4,4,4,9,4,9,16,20,13,9,5,5,NA,5,9,9,9,9,9,9,9,9,9,9,17,14,5,6,6,6,5,6,8,6,6,6,6,NA,NA,9,4,8,4,9,4,4,4,4,15,4,18,4,4,4,4,80,7,14,7,14,14,7,7,7,14,14,13,13,7,NA,9,34,NA,5,NA,NA,NA,14,16,75,32,19,12,6,5,12,4,12,12,12,8,12,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,4,4,5,4,5,9,4,10,NA,NA,NA,NA,NA,NA,NA,NA,14,14,10,16,15,14,15,14,10,8,14,4,8,14,8,10,0,3,10,10,10,22,10,10,10,4,0,18,69,NA,124,45,71,21,11,108,22,105,NA,4,12,0,13,6,6,NA,8,16,NA,NA,NA,5,6,NA,NA,7,9,9,5,9,5,5,5,5,5,9,5,5,28,24,22,12,15,20,18,13,16,6,25,15,39,14,15,9,12,15,7,15,9,6,6,7,NA,NA,0,0,0,0,0,0,19,0,0,0,0,0,7,7,12,7,12,12,12,10,7,12,10,12,12,10,NA,13,12,14,25,9,12,7,10,NA,NA,NA,NA,NA,13,6,13,5,17,5,5,22,8,5,5
colour,30,5G 4/10,5,5,9,9,10,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,22,9,5,5,NA,NA,NA,NA,4,4,4,8,8,4,4,4,4,4,4,4,5,5,6,5,5,5,5,10,5,5,5,NA,NA,5,5,21,5,5,5,5,5,5,12,5,14,5,5,5,5,30,4,11,4,4,11,15,7,11,11,4,7,4,4,NA,13,33,NA,8,NA,NA,NA,23,30,27,10,16,5,5,6,9,5,5,5,10,12,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,10,6,6,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,14,5,5,5,5,5,5,11,5,5,10,11,8,8,13,8,8,8,8,8,8,8,3,8,11,24,NA,34,39,11,6,14,6,39,72,NA,4,6,6,6,4,4,NA,6,4,NA,NA,NA,7,3,NA,NA,9,9,12,5,9,5,5,5,11,5,5,11,5,17,11,13,7,3,3,3,3,3,3,3,9,22,23,15,9,12,15,7,9,21,4,6,7,NA,NA,8,8,8,8,8,16,8,8,8,8,8,8,4,4,4,4,4,8,4,4,4,11,4,8,4,8,NA,8,8,8,8,8,8,8,10,NA,NA,NA,NA,NA,7,7,7,7,22,7,12,24,7,5,11
colour,31,5B 8/4,9,42,9,9,13,8,4,9,14,11,9,9,4,4,9,9,9,9,9,4,9,22,7,7,13,9,NA,7,9,9,8,9,9,9,9,9,9,9,9,9,6,6,6,6,6,5,5,6,6,6,6,NA,NA,9,8,14,9,9,4,4,7,8,7,7,7,9,9,9,9,25,4,11,4,11,11,17,15,11,11,4,11,15,4,NA,8,45,NA,12,NA,NA,NA,10,29,24,22,15,12,12,8,10,12,12,12,12,12,9,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,7,4,6,7,11,9,4,11,NA,NA,NA,NA,NA,NA,NA,NA,9,9,8,5,10,8,8,8,12,14,9,8,8,8,8,14,14,14,8,5,8,14,14,14,14,4,8,12,32,NA,12,47,39,19,22,17,15,32,NA,11,8,6,16,0,10,NA,6,0,NA,NA,NA,7,10,NA,NA,9,12,11,8,9,9,8,8,9,5,4,9,7,51,15,12,3,10,29,11,13,20,3,11,9,21,15,15,6,12,11,7,7,6,6,7,7,NA,NA,0,15,0,0,0,18,19,0,0,8,0,0,8,5,9,5,10,9,9,8,10,9,9,11,7,13,8,13,8,13,13,12,13,13,9,NA,NA,NA,NA,NA,13,13,5,5,10,9,11,29,13,7,13
colour,32,5Y 8/14,6,14,6,11,6,6,11,8,14,6,6,6,6,6,6,6,6,24,6,6,10,6,6,12,6,6,6,6,5,5,5,5,9,5,9,5,5,5,5,5,8,6,13,13,8,8,6,8,8,8,8,NA,NA,6,6,6,6,6,6,6,6,6,6,9,9,6,6,6,6,12,4,4,4,4,8,4,4,4,4,4,6,4,4,NA,18,15,NA,6,NA,NA,NA,10,26,39,16,6,6,6,5,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,10,6,6,10,6,6,6,12,6,6,6,12,8,8,8,8,8,8,8,8,8,8,8,8,9,5,NA,5,5,42,10,10,14,9,9,NA,6,10,8,8,0,6,NA,8,8,NA,NA,NA,5,14,NA,NA,4,13,4,4,4,13,4,4,4,4,4,13,4,7,11,18,11,3,8,3,3,3,3,3,12,3,21,15,6,15,15,7,7,8,6,7,7,NA,NA,10,8,10,9,10,10,10,10,10,9,10,10,3,3,7,3,3,14,7,3,3,7,9,3,7,10,7,9,7,12,7,7,7,7,7,NA,NA,NA,NA,NA,6,6,6,6,14,9,12,6,6,6,6
colour,33,5R 2/8,14,18,13,6,6,3,12,17,7,6,6,10,7,6,7,16,7,32,6,7,5,56,34,7,25,NA,4,13,9,3,3,8,9,8,7,3,3,9,3,9,6,5,5,5,6,5,8,6,5,5,6,NA,NA,8,8,6,21,9,83,5,18,6,30,11,4,6,30,16,8,19,6,8,8,8,8,6,19,7,15,8,15,8,7,NA,20,10,NA,4,NA,NA,NA,23,23,6,15,14,12,5,12,6,5,12,12,12,12,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,8,6,8,11,8,10,10,10,8,NA,NA,NA,NA,NA,NA,NA,NA,20,11,6,6,14,6,11,14,11,12,11,6,11,10,10,3,3,3,10,3,4,10,NA,5,11,10,4,7,18,NA,67,23,94,7,17,18,32,11,NA,8,0,8,8,9,4,NA,8,18,NA,NA,NA,5,13,NA,NA,3,9,12,12,10,5,10,3,5,10,6,10,10,20,13,10,25,6,16,4,12,16,3,16,11,22,14,15,14,14,21,7,7,7,6,7,7,NA,NA,17,0,0,0,0,0,19,0,8,0,10,0,7,5,7,7,11,10,15,11,11,10,11,7,7,12,14,8,8,10,9,9,14,4,7,NA,NA,NA,NA,NA,7,13,12,7,17,12,7,9,14,5,12
colour,34,10BG 4/6,10,13,25,28,14,8,18,7,8,10,15,4,4,9,24,4,24,33,9,4,23,39,59,4,4,23,4,12,4,8,9,18,16,9,8,4,9,4,4,12,5,6,6,5,5,5,5,6,5,13,5,NA,NA,23,9,12,14,9,17,15,13,33,8,70,37,9,11,5,4,13,4,4,4,4,9,0,7,4,11,11,11,4,4,NA,15,8,NA,8,NA,NA,NA,23,51,24,71,14,12,8,7,7,5,12,12,12,12,5,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,6,9,6,6,6,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,10,9,5,10,5,9,13,9,10,5,10,5,5,0,9,14,14,3,8,5,8,8,5,8,8,5,8,10,38,NA,17,30,70,17,24,21,47,97,NA,4,3,6,6,NA,8,NA,0,30,NA,NA,NA,7,6,NA,NA,4,5,9,12,5,5,9,9,5,5,11,5,5,38,18,12,3,3,5,3,6,6,3,11,20,20,23,15,7,12,15,11,7,7,4,7,7,NA,NA,12,8,0,8,8,18,10,0,19,0,0,0,4,4,12,4,8,4,4,4,9,11,9,14,9,8,17,17,8,14,16,11,8,7,8,NA,NA,NA,NA,NA,12,7,12,5,11,11,13,14,14,7,11
colour,35,10G 6/10,7,5,5,27,21,5,5,7,5,14,5,10,5,5,5,5,5,21,10,5,12,10,76,11,5,14,NA,NA,8,4,13,4,4,8,4,4,9,8,4,8,5,5,6,5,5,5,5,5,5,5,6,NA,NA,47,11,5,10,10,13,10,17,15,15,11,22,5,5,10,34,57,4,10,4,4,11,4,NA,4,11,4,11,4,4,NA,17,17,NA,8,NA,NA,NA,8,34,113,37,NA,12,5,5,12,5,5,5,12,12,5,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,6,6,6,11,6,6,11,11,NA,NA,NA,NA,NA,NA,NA,NA,9,5,5,9,9,5,9,5,13,5,9,5,5,9,11,8,8,8,8,8,14,14,14,14,8,8,8,12,25,NA,6,17,16,6,16,39,11,48,NA,4,6,6,4,4,8,NA,6,6,NA,NA,NA,7,6,NA,NA,9,9,5,5,5,9,5,5,5,5,8,9,5,24,15,21,11,8,11,15,5,35,6,11,12,15,23,15,7,12,15,7,7,7,4,20,7,NA,NA,15,15,0,15,8,16,15,15,15,0,8,8,8,9,4,7,7,5,9,7,9,16,10,9,9,8,17,20,8,13,8,8,13,8,10,NA,NA,NA,NA,NA,12,12,7,7,7,7,15,14,13,7,13
colour,36,5P 4/12,6,6,6,10,6,6,6,8,6,6,6,6,6,6,6,6,6,16,6,6,11,6,11,6,6,6,6,6,3,3,3,7,3,7,3,3,3,3,3,3,6,5,6,16,16,8,6,6,6,5,6,NA,NA,6,6,13,6,6,6,6,6,6,14,6,14,6,6,6,6,11,7,7,7,7,7,7,7,7,7,7,6,7,7,NA,25,20,NA,8,NA,NA,NA,7,37,14,11,16,12,6,7,6,12,6,7,6,12,6,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,15,6,14,6,6,6,6,13,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,4,4,8,4,13,4,4,4,4,4,10,0,0,3,3,3,9,12,0,3,0,3,5,14,47,NA,27,12,13,12,57,15,7,17,NA,4,0,0,13,9,12,NA,0,17,NA,NA,NA,7,8,NA,NA,3,3,9,3,16,3,3,3,9,4,3,3,9,24,26,11,8,4,8,33,11,23,3,11,19,28,19,15,20,14,15,7,9,7,6,13,7,NA,NA,0,14,0,0,0,12,0,0,0,0,0,0,7,7,7,10,7,7,7,7,7,7,7,7,12,8,9,11,5,11,29,5,16,5,9,NA,NA,NA,NA,NA,7,10,10,7,14,10,18,11,7,5,6
colour,37,10R 8/6,10,5,28,4,11,14,5,7,8,11,5,10,5,10,12,4,6,27,11,6,10,10,61,11,10,4,6,10,9,4,6,10,4,9,4,4,10,10,10,10,8,4,8,6,6,5,6,6,5,5,6,NA,NA,5,5,23,16,5,5,4,5,5,6,5,8,5,5,10,6,5,15,7,8,15,14,11,14,8,7,4,13,7,7,NA,10,29,NA,5,NA,NA,NA,15,34,48,16,23,12,12,5,6,12,12,12,6,8,9,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,4,4,11,4,4,4,9,11,NA,NA,NA,NA,NA,NA,NA,NA,14,8,10,4,6,8,8,8,4,5,13,4,8,4,10,14,0,14,6,7,12,12,13,7,8,13,0,11,25,NA,69,10,37,11,210,28,34,10,NA,6,10,0,8,6,0,NA,0,16,NA,NA,NA,5,6,NA,NA,5,5,14,9,8,8,5,10,7,5,8,17,7,20,19,12,12,3,11,12,6,9,6,12,6,23,14,15,6,14,19,11,7,14,6,7,7,NA,NA,11,0,0,16,16,0,8,0,0,8,0,0,6,10,13,4,7,10,12,6,10,11,11,10,13,8,12,9,9,9,12,14,12,5,12,NA,NA,NA,NA,NA,12,8,12,5,10,5,5,15,5,10,9
colour,38,5RP 4/12,14,24,20,48,15,4,12,7,6,4,16,7,6,21,8,4,4,20,4,10,14,59,NA,10,16,10,6,6,9,8,3,8,9,8,7,3,3,8,9,8,6,5,5,5,5,5,5,6,5,5,5,NA,NA,3,10,7,6,4,7,48,7,6,10,29,79,7,6,16,15,10,7,14,7,8,8,7,7,7,7,7,14,14,7,NA,7,8,NA,5,NA,NA,NA,23,22,3,8,16,7,3,7,7,7,11,7,4,7,4,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,24,20,9,11,6,4,8,4,11,NA,NA,NA,NA,NA,NA,NA,NA,13,8,5,13,15,4,15,10,4,4,15,9,4,9,10,10,0,4,4,4,4,4,5,9,4,7,4,14,21,NA,10,25,30,22,10,23,72,61,NA,13,0,8,6,6,4,NA,8,17,NA,NA,NA,5,6,NA,NA,13,11,10,5,8,3,6,10,7,5,9,8,3,36,38,10,17,10,29,4,12,7,4,20,10,22,9,15,7,12,7,10,25,9,6,11,6,NA,NA,15,0,0,8,8,8,19,15,8,0,0,0,7,11,7,NA,7,7,18,7,5,12,11,12,5,9,18,9,13,7,9,9,14,9,9,NA,NA,NA,NA,NA,13,16,16,5,14,9,9,14,7,6,10
colour,39,10GY 4/8,5,5,5,11,20,5,5,13,11,5,5,5,5,5,5,5,5,11,5,5,5,5,13,NA,5,5,5,9,8,4,4,8,4,4,4,4,8,4,4,8,5,6,5,5,5,5,5,5,5,5,6,NA,NA,5,5,27,5,5,5,5,5,5,30,5,12,5,5,5,5,9,4,9,4,4,6,4,4,4,4,4,11,4,4,NA,12,17,NA,8,NA,NA,NA,5,26,72,16,23,12,5,12,6,5,9,5,12,12,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,6,6,6,6,6,16,10,6,NA,NA,NA,NA,NA,NA,NA,NA,8,5,5,4,5,5,10,8,4,5,10,9,10,8,10,14,8,8,8,8,8,8,8,8,8,3,8,11,36,NA,20,17,67,10,22,20,16,28,NA,4,8,6,4,4,4,NA,6,6,NA,NA,NA,4,4,NA,NA,9,11,11,5,9,5,5,10,9,11,5,5,5,9,17,29,27,3,3,3,11,3,3,3,6,19,15,15,5,12,7,9,7,9,4,6,2,NA,NA,8,8,21,8,8,8,8,8,19,8,8,8,4,4,4,4,7,4,11,4,4,11,4,4,7,8,8,8,8,8,8,8,8,8,10,NA,NA,NA,NA,NA,7,7,7,7,7,7,14,13,7,7,11
colour,40,10GY 6/12,14,23,19,10,11,5,10,10,5,12,10,10,10,5,11,9,10,10,5,10,10,9,34,NA,9,5,5,10,8,4,4,4,9,8,8,4,4,4,15,15,5,5,5,5,5,5,5,5,5,5,5,NA,NA,20,11,24,10,10,40,5,10,10,10,9,16,5,5,10,9,9,4,10,4,11,4,11,11,10,11,11,11,10,8,NA,8,9,NA,8,NA,NA,NA,12,10,NA,2,21,12,5,5,6,5,10,12,12,12,5,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,11,11,11,6,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,5,10,9,9,5,5,5,9,5,9,11,11,8,14,14,8,8,14,14,14,14,8,3,8,12,29,NA,29,16,15,11,54,19,76,22,NA,4,8,6,4,4,4,NA,6,4,NA,NA,NA,10,4,NA,NA,9,11,5,5,9,5,9,5,9,5,9,9,5,37,16,6,11,18,9,18,3,22,6,11,12,18,23,15,7,23,7,7,7,9,24,6,2,NA,NA,15,15,0,8,8,16,15,8,15,8,9,8,10,9,9,4,8,8,9,7,9,9,7,10,7,8,13,18,8,8,13,8,13,8,8,NA,NA,NA,NA,NA,13,14,14,16,14,13,14,13,13,12,13
colour,41,5YR 4/8,5,5,22,13,5,5,11,7,5,7,5,4,5,5,26,5,5,15,8,5,10,5,14,NA,10,5,5,13,3,3,7,8,8,3,7,3,3,3,3,3,6,6,6,6,6,5,5,6,6,5,12,NA,NA,47,10,13,5,10,5,5,25,10,12,5,10,10,5,10,22,10,8,8,8,8,8,8,8,8,8,8,15,9,8,NA,15,5,NA,5,NA,NA,NA,18,20,6,32,12,12,9,12,5,5,10,12,12,12,5,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26,8,8,11,8,7,8,8,13,NA,NA,NA,NA,NA,NA,NA,NA,6,10,6,9,11,6,6,6,13,6,6,9,6,6,6,0,3,4,6,6,6,14,7,5,0,14,0,13,23,NA,34,17,97,10,49,86,17,29,NA,7,0,15,6,9,4,NA,8,8,NA,NA,NA,5,6,NA,NA,8,10,11,9,10,10,10,10,4,4,10,14,10,29,18,12,9,6,30,12,12,19,6,6,8,23,24,15,12,21,7,18,7,33,6,14,2,NA,NA,0,0,0,8,0,0,0,0,0,0,10,0,10,5,6,7,7,7,7,10,7,9,10,9,13,12,12,9,5,11,13,9,9,5,7,NA,NA,NA,NA,NA,11,5,5,5,7,6,13,7,7,10,14
colour,42,5GY 6/10,5,9,9,10,12,5,5,4,5,12,5,10,5,5,17,5,5,10,10,5,18,18,26,5,10,5,5,11,8,8,8,4,8,9,8,4,9,4,4,8,5,5,5,5,5,5,5,5,5,5,5,NA,NA,5,51,25,5,10,5,5,10,10,30,9,22,5,5,5,9,51,4,11,4,4,11,4,4,9,11,4,11,4,4,NA,8,13,NA,8,NA,NA,NA,20,36,66,15,32,12,9,6,6,12,10,12,12,12,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,6,6,11,9,15,6,16,11,NA,NA,NA,NA,NA,NA,NA,NA,9,10,9,4,15,5,14,16,6,5,5,6,16,9,11,14,14,14,8,8,8,8,14,14,8,3,8,11,27,NA,14,20,137,11,35,11,84,6,NA,4,8,6,4,4,0,NA,6,25,NA,NA,NA,4,4,NA,NA,9,12,11,12,11,5,11,5,12,5,9,11,5,40,16,14,15,8,18,12,9,3,3,13,12,23,15,15,19,23,15,6,7,7,4,14,2,NA,NA,15,8,0,8,8,16,15,15,15,8,9,35,4,4,4,7,7,9,4,7,4,9,4,9,7,8,17,22,7,8,56,13,NA,8,9,NA,NA,NA,NA,NA,12,7,13,12,14,7,14,16,13,12,11
colour,43,10GY 2/4,16,5,20,14,18,5,21,5,14,19,11,8,9,35,29,5,13,30,9,5,9,15,5,11,5,9,9,9,8,8,8,8,15,8,15,8,5,5,4,9,5,5,5,5,5,5,5,5,5,5,5,NA,NA,9,15,20,13,9,5,5,13,9,14,16,11,10,9,14,20,68,11,14,11,7,6,18,7,9,11,11,9,11,11,NA,15,32,NA,17,NA,NA,NA,23,19,9,5,25,7,9,7,7,4,9,12,8,12,9,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,10,4,11,4,6,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,10,5,10,5,10,5,10,10,5,8,10,9,5,10,10,5,5,5,8,8,5,8,0,5,5,8,8,5,31,NA,27,14,29,5,15,20,5,17,NA,4,3,6,11,11,4,NA,0,8,NA,NA,NA,20,11,NA,NA,8,12,4,5,9,5,5,5,4,5,12,9,5,9,22,15,9,10,21,3,6,14,3,9,12,14,14,14,20,14,15,14,14,10,6,23,14,NA,NA,8,8,10,10,0,8,12,8,10,10,0,0,8,8,8,5,7,3,11,8,7,11,7,7,7,10,16,16,11,11,13,10,8,7,11,NA,NA,NA,NA,NA,6,13,6,13,6,11,6,6,12,5,14
