"Language","domain","Stimulus.code","mean","mean.log","simpson.diversityIndex"
"ASL","colour","colour.10YR 8/14",13.6923076923077,2.265143485355,0.5
"ASL","colour","colour.5B 2/6",8.38461538461539,2.13064814808475,0.705128205128205
"ASL","colour","colour.5B 4/10",11.0769230769231,2.32491280416612,0.846153846153846
"ASL","colour","colour.5B 6/10",9.84615384615385,2.2909723156334,1
"ASL","colour","colour.5B 8/4",11.5384615384615,2.31728163037371,0.846153846153846
"ASL","colour","colour.5BG 2/6",11.6923076923077,2.39887430057224,0.307692307692308
"ASL","colour","colour.5BG 4/8",10.7692307692308,2.17993533530447,0.705128205128205
"ASL","colour","colour.5BG 6/10",12.3846153846154,2.38924375399034,0.217948717948718
"ASL","colour","colour.5BG 8/4",15.9230769230769,2.49557741782178,0.141025641025641
"ASL","colour","colour.5G 2/6",12.6153846153846,2.47909574080776,0.58974358974359
"ASL","colour","colour.5G 4/10",6,1.83857229052006,1
"ASL","colour","colour.5G 6/10",10.6153846153846,2.26068455972897,0.846153846153846
"ASL","colour","colour.5G 8/6",12.9230769230769,2.5089441830693,0.846153846153846
"ASL","colour","colour.5GY 2/2",8.76923076923077,2.03329019410948,0.397435897435897
"ASL","colour","colour.5GY 4/8",9.23076923076923,2.20137881843517,1
"ASL","colour","colour.5GY 6/10",7.38461538461539,1.99918133464333,0.846153846153846
"ASL","colour","colour.5GY 8/10",9.07692307692308,2.17383988940149,0.58974358974359
"ASL","colour","colour.5P 2/8",11.1538461538462,2.37845647305497,1
"ASL","colour","colour.5P 4/12",6.46153846153846,1.92932810512133,1
"ASL","colour","colour.5P 6/8",8,2.07483332275473,1
"ASL","colour","colour.5P 8/4",14.3846153846154,2.55808571134407,0.576923076923077
"ASL","colour","colour.5PB 2/8",7.84615384615385,1.97685587280817,1
"ASL","colour","colour.5PB 4/12",5.84615384615385,1.78291173324096,1
"ASL","colour","colour.5PB 6/10",13.3076923076923,2.38780238577494,1
"ASL","colour","colour.5PB 8/6",9.61538461538461,2.22403697581943,1
"ASL","colour","colour.5R 2/8",9.61538461538461,2.20797627434944,0.217948717948718
"ASL","colour","colour.5R 4/14",4.53846153846154,1.51554570546604,0.846153846153846
"ASL","colour","colour.5R 6/12",11.9230769230769,2.37106755360011,0.282051282051282
"ASL","colour","colour.5R 8/6",7.30769230769231,1.83798056030139,0.58974358974359
"ASL","colour","colour.5RP 2/8",10.2307692307692,2.28162612502591,1
"ASL","colour","colour.5RP 4/12",14.0769230769231,2.43279266835733,0.217948717948718
"ASL","colour","colour.5RP 6/12",13.6923076923077,2.52089568700452,1
"ASL","colour","colour.5RP 8/6",5.84615384615385,1.79056256351254,1
"ASL","colour","colour.5Y 2/2",5.84615384615385,1.80317543727627,0.846153846153846
"ASL","colour","colour.5Y 4/6",16.3846153846154,2.42616753776961,0.230769230769231
"ASL","colour","colour.5Y 6/10",14.0833333333333,2.38494201590598,0.545454545454545
"ASL","colour","colour.5Y 8/14",8.15384615384615,2.10365191910004,1
"ASL","colour","colour.5YR 2/4",11.2307692307692,2.25345353849024,0.192307692307692
"ASL","colour","colour.5YR 4/8",7.61538461538461,1.97120554719644,0.358974358974359
"ASL","colour","colour.5YR 6/14",7.30769230769231,2.02410206628602,1
"ASL","colour","colour.5YR 8/8",10.9230769230769,2.29880801243251,0.269230769230769
"ASL","shape","shape.2 circles",57.1538461538462,4.02586352813935,0.5
"ASL","shape","shape.2 cubes",37.9230769230769,3.48210294653395,0.5
"ASL","shape","shape.2 spheres",46.5384615384615,3.67230166889014,0.192307692307692
"ASL","shape","shape.2 triangles",67.5384615384615,4.15153253317035,0.243589743589744
"ASL","shape","shape.3 cones",54.6923076923077,3.92342994771927,0.58974358974359
"ASL","shape","shape.3 elipses",60.7692307692308,3.88127210069182,0.269230769230769
"ASL","shape","shape.3 squares",37.0769230769231,3.54628735138898,0.846153846153846
"ASL","shape","shape.circle",31.8461538461538,3.37815957292618,0.58974358974359
"ASL","shape","shape.cone",38.9230769230769,3.39152951916919,0.435897435897436
"ASL","shape","shape.cube",17.3076923076923,2.72256526107367,0.461538461538462
"ASL","shape","shape.cylinder",92.0769230769231,4.19992954794231,0.461538461538462
"ASL","shape","shape.elipse",30.6923076923077,3.2211144778027,0.371794871794872
"ASL","shape","shape.elipsoid",33.5384615384615,3.02544609519588,0.217948717948718
"ASL","shape","shape.flower",42.0769230769231,3.39421964475414,0.371794871794872
"ASL","shape","shape.rectangle",67.9230769230769,4.17342562874427,0.58974358974359
"ASL","shape","shape.rectangle 3D",58.1538461538462,3.90175839713713,0.320512820512821
"ASL","shape","shape.sphere",31.6153846153846,2.98228790599298,0.192307692307692
"ASL","shape","shape.square",7.53846153846154,2.03128000653137,1
"ASL","shape","shape.star",4,1.50407739677627,1
"ASL","shape","shape.triangle",36.3846153846154,3.44608432385839,0.576923076923077
"ASL","smell","smell.banana",35.0909090909091,2.98443331167441,0.0727272727272727
"ASL","smell","smell.chocolate",31.2727272727273,3.0840965258091,0.0181818181818182
"ASL","smell","smell.cinnamon",13.4545454545455,2.50038421135587,0.381818181818182
"ASL","smell","smell.gasoline",23.8181818181818,3.00768479237722,0.0181818181818182
"ASL","smell","smell.lemon",25.6363636363636,2.98957486839462,0.0181818181818182
"ASL","smell","smell.onion",42.1818181818182,3.55521405432786,0
"ASL","smell","smell.paint thinner",27.8181818181818,3.07600165568808,0.0181818181818182
"ASL","smell","smell.pineapple",35.0909090909091,3.40440136791101,0.0727272727272727
"ASL","smell","smell.rose",44.3636363636364,3.44432623932119,0.0727272727272727
"ASL","smell","smell.smoke",19.8181818181818,2.78856011791423,0
"ASL","smell","smell.soap",35.8181818181818,3.18510780425079,0.0181818181818182
"ASL","smell","smell.turpentine",41.6363636363636,3.38259050552304,0.0363636363636364
"ASL","sound","sound.loud-down",NA,NA,NA
"ASL","sound","sound.loud-up",NA,NA,NA
"ASL","sound","sound.pitch-down",NA,NA,NA
"ASL","sound","sound.pitch-up",NA,NA,NA
"ASL","sound","sound.tempo",NA,NA,NA
"ASL","taste","taste.citric acide monohydrate (sour)",25.5833333333333,2.84649861312805,0.181818181818182
"ASL","taste","taste.glutamate (umami)",33.3333333333333,3.20501661710187,0.121212121212121
"ASL","taste","taste.quinine hydrochloride (bitter)",72.1666666666667,3.65268030844328,0.151515151515152
"ASL","taste","taste.sodium chloride (salt)",22.5,2.63186689209216,0.181818181818182
"ASL","taste","taste.sucrose (sweet)",18.8333333333333,2.69744247972538,0.227272727272727
"ASL","touch","touch.beads",115.153846153846,4.24631490802218,0.0512820512820513
"ASL","touch","touch.cork",75.0769230769231,3.82941609482102,0
"ASL","touch","touch.curved ridges (wide spacing)",80.9230769230769,4.2464948987255,0.0512820512820513
"ASL","touch","touch.feather",42.3846153846154,3.37938336952842,0.153846153846154
"ASL","touch","touch.felt",42.25,3.30243307021991,0.106060606060606
"ASL","touch","touch.fur (synthetic)",61.6153846153846,3.66594543461023,0.0512820512820513
"ASL","touch","touch.jagged (fabric)",34.6923076923077,3.28562904729009,0.141025641025641
"ASL","touch","touch.plastic (sheet)",42.6153846153846,3.52635073132387,0.0384615384615385
"ASL","touch","touch.rubber (yoga mat)",69.8461538461538,4.06940696493352,0.0384615384615385
"ASL","touch","touch.straight ridges (small spacing)",105.692307692308,4.37094264462167,0.0512820512820513
"BSL","colour","colour.10B 2/6",12.0769230769231,2.34301939936236,0.846153846153846
"BSL","colour","colour.10B 4/10",6.4,1.82875473439872,0.866666666666667
"BSL","colour","colour.10B 6/10",9.71428571428571,2.18295740732633,0.615384615384615
"BSL","colour","colour.10B 8/6",12,2.36708092986986,0.580952380952381
"BSL","colour","colour.10BG 2/6",11,2.3012963096254,0.866666666666667
"BSL","colour","colour.10BG 4/6",18.3333333333333,2.56892458173959,0.123809523809524
"BSL","colour","colour.10BG 6/8",7.06666666666667,1.90989173338645,0.533333333333333
"BSL","colour","colour.10BG 8/4",9.92857142857143,2.24059813082282,0.406593406593407
"BSL","colour","colour.10G 2/6",10.8,2.28441070124436,0.533333333333333
"BSL","colour","colour.10G 4/10",6.46666666666667,1.87166140215054,0.866666666666667
"BSL","colour","colour.10G 6/10",14.1538461538462,2.3060620825252,0.846153846153846
"BSL","colour","colour.10G 8/6",13.3333333333333,2.51888383765764,0.742857142857143
"BSL","colour","colour.10GY 2/4",13.2,2.41553185001103,0.485714285714286
"BSL","colour","colour.10GY 4/8",6.28571428571429,1.86061125243163,1
"BSL","colour","colour.10GY 6/12",10.1428571428571,2.23664645785694,1
"BSL","colour","colour.10GY 8/8",9.42857142857143,2.26775755325626,1
"BSL","colour","colour.10P 2/6",14.2857142857143,2.45166885936486,0.604395604395604
"BSL","colour","colour.10P 4/12",6.86666666666667,1.96332826563443,1
"BSL","colour","colour.10P 6/10",8.93333333333333,2.03767233451562,0.866666666666667
"BSL","colour","colour.10P 8/6",7.92857142857143,1.98678440063653,0.637362637362637
"BSL","colour","colour.10PB 2/10",7.6,2.06363140900635,1
"BSL","colour","colour.10PB 4/12",9.93333333333333,2.24203062796112,0.628571428571429
"BSL","colour","colour.10PB 6/10",11.4,2.36365086104773,0.638095238095238
"BSL","colour","colour.10PB 8/4",8.26666666666667,2.0971760689243,0.171428571428571
"BSL","colour","colour.10R 2/6",7.46666666666667,1.96882771508071,0.628571428571429
"BSL","colour","colour.10R 4/12",11.9333333333333,2.40472287563882,0.123809523809524
"BSL","colour","colour.10R 6/14",7.73333333333333,1.96390307394108,0.485714285714286
"BSL","colour","colour.10R 8/6",13.2,2.34827223364042,0.323809523809524
"BSL","colour","colour.10RP 2/8",15.6666666666667,2.59219993575187,0.238095238095238
"BSL","colour","colour.10RP 4/14",11.9333333333333,2.36006998545907,0.438095238095238
"BSL","colour","colour.10RP 6/12",8.85714285714286,2.07264905559964,0.604395604395604
"BSL","colour","colour.10RP 8/6",6.2,1.77991957339211,0.866666666666667
"BSL","colour","colour.10Y 2/2",7,1.94934610145006,0.527472527472527
"BSL","colour","colour.10Y 4/6",12.2857142857143,2.44175892262264,0.428571428571429
"BSL","colour","colour.10Y 6/10",12.4,2.26717013899674,0.638095238095238
"BSL","colour","colour.10Y 8/12",17.7857142857143,2.58551466189836,0.340659340659341
"BSL","colour","colour.10YR 2/2",11.0666666666667,2.2366917576644,0.323809523809524
"BSL","colour","colour.10YR 4/8",11.8666666666667,2.36542089852906,0.4
"BSL","colour","colour.10YR 6/12",18.3333333333333,2.69377786455942,0.0952380952380952
"BSL","colour","colour.10YR 8/14",8.6,2.12375415469383,0.866666666666667
"BSL","colour","colour.5B 2/6",15.2666666666667,2.58533840429773,0.628571428571429
"BSL","colour","colour.5B 4/10",9,2.08552728514598,0.725274725274725
"BSL","colour","colour.5B 6/10",10.8,2.24005292867786,0.742857142857143
"BSL","colour","colour.5B 8/4",9.07142857142857,2.18057938857711,0.857142857142857
"BSL","colour","colour.5BG 2/6",13.3571428571429,2.36510964563885,0.373626373626374
"BSL","colour","colour.5BG 4/8",11.1538461538462,2.26843593829073,0.474358974358974
"BSL","colour","colour.5BG 6/10",12,2.24650868486085,0.180952380952381
"BSL","colour","colour.5BG 8/4",14.2,2.41079650255086,0.123809523809524
"BSL","colour","colour.5G 2/6",10.8666666666667,2.30676126309807,0.552380952380952
"BSL","colour","colour.5G 4/10",7.45454545454545,1.94955808009941,1
"BSL","colour","colour.5G 6/10",9.6,2.20344923454178,0.866666666666667
